customer_name,customer_email,customer_gender,customer_age_group,customer_loyalty_program,product_category,product_sub_category,product_name,product_rating,product_review_text,product_return_status,product_issue_type,order_id,order_status,purchase_mode,payment_mode,discount_applied,store_location,delivery_status,order_fulfillment_time,response_time,follow_up_required,feedback_date,feedback_category,feedback_sub_category,sentiment,customer_sentiment_score,feedback_text_length,customer_support_rating,resolution_status,staff_name,staff_email
Kristin Carpenter,lhicks@example.org,Other,18-24,No,Personal Care,Fruits,morph magnetic initiatives,2,Data once share power theory. Phone appear heart meet. I let do until.,No,Not as Described,446e6f14-9842-4541-8dd1-69ca78420b5f,Not Confirmed,Offline,Cash,Yes,Los Angeles,Pending,7,13,Yes,2024-01-28,Usability,Poor,Neutral,-0.4662848477475934,166,2,Resolved,Matthew Hall,jeffreyleonard@example.com
Paul Smith DVM,leelinda@example.com,Female,25-34,No,Personal Care,Bedding,engineer scalable platforms,5,President join power chance policy security product. Create deep hot act democratic item partner present. Entire born tax serious.,No,Other,34180949-79dc-4be2-99e0-9d747129ddbe,Confirmed,Offline,Card,No,London,Shipped,6,6,No,2024-01-03,Delivery,Excellent,Positive,0.9123951773898094,170,5,Resolved,Sarah Gill,thompsondawn@example.org
Bridget Edwards,juan37@example.org,Other,45-54,Yes,Stationery,Bedding,drive cross-platform e-tailers,2,"Draw list talk sister all site. Board way especially term pay yard site.
To left moment theory. Trouble bring hundred fine information. Little administration traditional behind follow whose toward.",No,Other,35a9977a-8b64-42a6-a247-aade7ca12c58,Confirmed,Online,UPI,No,New York,Delivered,2,13,Yes,2024-09-13,Customer Support,Average,Negative,-0.12993583971319955,97,5,Resolved,Kathleen Friedman,cwhite@example.com
James Robinson,bwilson@example.org,Male,25-34,Yes,Groceries,Rice Cookers,reinvent cutting-edge eyeballs,2,"Rest treat player its long again live oil. Listen care treatment official begin to. Concern share wife fast actually.
Pick compare candidate think. Determine television set best system term letter.",No,Not as Described,1a0cfe27-4481-4be6-b573-8881519d19a1,Confirmed,Online,UPI,Yes,Los Angeles,Shipped,7,12,No,2024-06-18,Usability,Excellent,Negative,-0.5935968081558534,193,4,Resolved,Paul Brown,thomas01@example.org
Dr. Robert Mitchell,david97@example.net,Other,35-44,No,Groceries,Microwaves,unleash cross-media content,5,"Rise of nearly herself. General behavior use best firm attention without.
Require past seek should next fall occur set. Recognize feeling social agreement.",Yes,Not as Described,db5e14b0-b388-4a7e-9784-e8ab3e64ef96,Confirmed,Online,UPI,Yes,Mumbai,Delivered,3,8,No,2024-07-30,Price,Excellent,Neutral,0.7296881468774181,161,1,Resolved,Regina Rodriguez,carolgarcia@example.org
Melvin White,valenciascott@example.com,Other,55+,No,Groceries,Cleaning Supplies,evolve 24/365 e-services,3,Vote four act every role. Both agreement Republican situation trial. Wife theory sometimes.,No,Other,afd90813-a2f2-45cd-93e7-e302617fc83c,Confirmed,Offline,UPI,No,New York,Shipped,7,14,Yes,2024-04-12,Service,Good,Positive,0.6275292222915063,99,2,Not Resolved,Linda Barber,thomas01@example.org
Jessica Mcintyre DDS,marytaylor@example.net,Other,18-24,No,Stationery,Cleaning Supplies,matrix distributed metrics,3,"Hotel enough gas course. Light thus dog fine party become. Really tough believe see according finish certain.
Discuss tax night finish court. Answer manager name turn simple fish former either.",Yes,Other,3d7299c1-8d2a-4a26-85fd-d84538f9c5db,Not Confirmed,Online,Cash,Yes,Mumbai,Delivered,6,17,Yes,2024-11-27,Delivery,Poor,Positive,-0.3516514522024423,146,5,Resolved,Linda Barber,cwhite@example.com
Andrew Wagner,teresamitchell@example.com,Other,18-24,Yes,Household Items,Furniture,aggregate value-added schemas,1,"Option protect much coach marriage move. System because material. Quality per charge management approach long.
Later analysis him student include. Market movie crime treat.",No,Other,e42ea085-bafc-475b-9dbc-37673dbe8a3d,Confirmed,Online,UPI,No,London,Pending,4,20,Yes,2024-05-16,Price,Good,Neutral,-0.3759979542472427,143,4,Resolved,Karen Taylor,rachelstone@example.net
Rebecca Martin,deboraholiver@example.com,Other,45-54,No,Household Items,Microwaves,extend innovative applications,5,"Hour tend little part police. Member old success natural feel certain.
Event letter film left save. Hospital data order test employee. Measure play ball six cold water.",Yes,Other,af65f4a0-a2ab-46fe-bc26-9ce4a7ea38c1,Not Confirmed,Online,UPI,Yes,Los Angeles,Shipped,4,9,No,2024-02-12,Customer Support,Average,Neutral,0.10573528985584613,196,2,Resolved,Rodney Hunt,jeffreyleonard@example.com
Justin Rodriguez,browncynthia@example.org,Male,35-44,No,Kitchen Appliances,Vegetables,envisioneer frictionless metrics,2,Ability decide yeah position product or. Environmental surface what between fast federal order. Reduce keep agent more follow study.,No,Defective,1fdf9a72-5e60-43c7-b30b-d036bd450023,Not Confirmed,Offline,Cash,No,Chicago,Delivered,6,20,Yes,2024-01-21,Customer Support,Poor,Negative,0.866923969732011,145,1,Not Resolved,Sarah Gill,mcraig@example.com
Erica Long,coleshawn@example.net,Female,55+,No,Household Items,Hair Care,optimize world-class functionalities,3,"Stuff start impact least. Sister idea any service on machine.
Land commercial account everything edge. Usually former always fly. Fund unit cold store.",Yes,Other,ba532b8e-9e63-4458-b06b-ceb4c455a7d2,Confirmed,Online,Cash,Yes,Los Angeles,Shipped,3,11,Yes,2024-07-02,Service,Poor,Neutral,-0.17547217423947425,117,3,Not Resolved,Rebecca Banks,rachelstone@example.net
Sandra Schaefer,garciaerin@example.com,Other,18-24,Yes,Groceries,Hair Care,evolve B2C networks,4,"Financial just officer tough stock. Me will quality Democrat personal. Practice approach receive write open office.
Forward idea young away group. Less maybe baby religious glass live.",No,Defective,46408265-a23a-4c54-b29c-678c807499e3,Not Confirmed,Offline,Cash,Yes,London,Delivered,2,4,Yes,2024-09-12,Customer Support,Good,Positive,-0.8404372949914032,167,3,Resolved,Jason Howell,bondcourtney@example.com
Joseph Joyce,michaelharvey@example.net,Female,35-44,No,Groceries,Paper,engage synergistic e-business,3,"Pay able as ok. Remember dog culture west popular up. Price price wind only quality sister.
Care space past traditional large. Media two light through song perhaps.",No,Missing Parts,b6c91484-d78a-4272-8375-50c4bcd90433,Confirmed,Offline,Card,Yes,Los Angeles,Pending,6,14,Yes,2024-11-15,Delivery,Average,Positive,0.8158129307153377,169,4,Not Resolved,Regina Rodriguez,rachelstone@example.net
Michelle Padilla,qsanchez@example.net,Other,25-34,Yes,Personal Care,Microwaves,re-intermediate frictionless action-items,3,"Stand lose no son upon time eat threat. Finish agree week others national consumer dog.
Agreement fish worry. Coach unit gas eight shake.",Yes,Missing Parts,5519e6db-1944-4a9a-9da4-a4cc11ad9b8c,Confirmed,Offline,UPI,Yes,Los Angeles,Delivered,5,5,No,2024-01-31,Quality,Excellent,Negative,0.5450991241297374,189,4,Resolved,Kathleen Friedman,thompsondawn@example.org
Christopher Black,lrice@example.org,Other,45-54,No,Groceries,Fruits,deliver web-enabled partnerships,5,"Address huge along most. Let hospital how trip.
Threat policy letter theory oil condition large fly.
Wife day kitchen feeling.",Yes,Missing Parts,ba78611c-fab8-4063-9062-a27fb021d25c,Not Confirmed,Online,Card,No,Chicago,Shipped,2,20,No,2024-04-20,Delivery,Good,Negative,0.4703123054410159,123,1,Resolved,Regina Rodriguez,thompsondawn@example.org
Rebecca Miller,ronald29@example.org,Other,45-54,Yes,Stationery,Paper,engage turn-key schemas,2,"Discussion behavior especially capital finally. Energy individual meet book group probably likely.
Design little investment situation experience.
Several artist could perform person store.",No,Not as Described,ed89ca6c-c0fd-4025-98c5-0061f26205f8,Confirmed,Online,Card,Yes,Los Angeles,Delivered,5,21,Yes,2024-07-22,Customer Support,Excellent,Neutral,-0.5307409905609035,85,4,Resolved,Jason Howell,cwhite@example.com
Mrs. Maria Kennedy,coreymontes@example.net,Female,18-24,Yes,Stationery,Notebooks,benchmark best-of-breed initiatives,4,"Part decade executive tend stuff bed. Hit attack leader form many.
Tonight forget according win inside well employee. Inside which last.",No,Not as Described,0deae884-6729-41bf-975f-5654697a2366,Not Confirmed,Offline,Card,No,Los Angeles,Pending,4,13,Yes,2024-05-10,Delivery,Average,Neutral,-0.8181092753537449,160,3,Not Resolved,Linda Barber,mcraig@example.com
David Molina,itorres@example.net,Other,35-44,Yes,Stationery,Furniture,mesh synergistic e-business,2,"Yeah most administration relate.
Certain choice who account increase. Popular environmental me along stay really though provide.
Do population little power. On we on allow evening president.",Yes,Not as Described,b929bcb6-058b-468f-a185-5ca47a2c8bfc,Not Confirmed,Offline,Card,Yes,Mumbai,Pending,3,3,Yes,2024-11-04,Price,Average,Neutral,-0.23139234744885528,172,5,Resolved,Linda Barber,mcraig@example.com
Latasha Wright,alfred04@example.org,Female,18-24,Yes,Household Items,Rice Cookers,transform interactive technologies,4,"Go game them four appear president. Ready fear represent forward.
Music sometimes child wind really.
Challenge early really others task treat. Item assume agent. Miss modern yard.",Yes,Defective,7b730897-d00a-48cd-bc29-6138bad9a186,Not Confirmed,Offline,Cash,No,Chicago,Pending,3,3,No,2024-05-27,Delivery,Poor,Positive,0.7834564533289661,199,1,Resolved,Matthew Hall,mcraig@example.com
Christopher Henderson,qroberts@example.com,Male,25-34,Yes,Stationery,Paper,integrate clicks-and-mortar content,1,People amount company whatever. Leg measure newspaper few weight he believe. Factor recently development physical movie form treatment worry.,No,Other,723fb01f-79a7-4454-bbe9-0d5fdd90eec0,Confirmed,Online,Cash,No,Los Angeles,Shipped,5,22,Yes,2024-01-15,Quality,Excellent,Negative,-0.23208385606495607,165,1,Not Resolved,Jason Howell,dvalenzuela@example.net
Shelby Jacobson,cantrellmelinda@example.net,Male,25-34,Yes,Kitchen Appliances,Notebooks,visualize enterprise web services,1,Poor live by begin imagine let explain. Drive let cultural suffer computer. Age event police democratic stock.,No,Defective,8692fdda-23bd-4436-8280-d3fb290a2d6d,Confirmed,Offline,UPI,Yes,Mumbai,Delivered,5,18,No,2024-05-07,Price,Average,Negative,0.39861408940454246,104,5,Not Resolved,Paul Brown,bondcourtney@example.com
Cheryl Casey,carolinecrosby@example.com,Other,45-54,No,Kitchen Appliances,Pencils,enable wireless infrastructures,5,"Several glass air leader. Test agency anything society may answer bar. Take list mind language mother.
Person attorney executive lay develop recent. Purpose movie maintain guess method.",Yes,Other,719f653e-8f5f-462e-b009-006bf17815e4,Not Confirmed,Online,Card,Yes,Mumbai,Delivered,6,7,Yes,2024-08-21,Usability,Average,Neutral,-0.7938412329004094,169,3,Not Resolved,Regina Rodriguez,dvalenzuela@example.net
Jonathan Townsend,vchapman@example.com,Female,55+,Yes,Household Items,Microwaves,visualize global deliverables,1,"Skill fire respond it member. To four thank worry sign less religious.
Program call eat store blue cup. By first prevent sport oil. Item center much force.",Yes,Not as Described,11c44a2f-58e1-4aa9-9ecf-372e05718fd9,Confirmed,Online,Cash,No,London,Pending,2,14,Yes,2024-07-09,Service,Average,Positive,-0.5074737457523695,164,4,Resolved,Jason Howell,cwhite@example.com
Gloria Lewis,rachelsmith@example.org,Other,18-24,Yes,Personal Care,Bedding,harness rich partnerships,3,"Big cover could central. Cup someone yet grow. Near however it theory ready.
Cost note after high. Themselves what do evidence.",No,Other,589bcab1-0a3a-4bcc-b637-f4504f580ba6,Confirmed,Offline,Card,No,Mumbai,Shipped,3,4,No,2024-01-22,Price,Excellent,Negative,-0.6224116753548607,150,1,Resolved,Karen Taylor,dvalenzuela@example.net
Philip Lucas,lewisteresa@example.net,Male,55+,No,Stationery,Bedding,incubate intuitive functionalities,2,"Maybe necessary purpose commercial property teach bank. Recent outside head without grow look return.
Responsibility attack son life. Fine if amount chair partner. Face allow week.",No,Not as Described,138dbbe4-fbc2-4b99-9def-5a73ef198aef,Not Confirmed,Online,UPI,Yes,Chicago,Delivered,1,5,No,2024-07-02,Usability,Poor,Negative,0.17990822372952686,158,1,Resolved,Matthew Hall,carolgarcia@example.org
Lori Tucker,kathryn36@example.org,Male,25-34,No,Household Items,Rice Cookers,transition virtual functionalities,1,"Concern ago human present local. Brother our north face out. Dark home star ten but watch for.
Civil past your pretty. Eight mention recognize sense worry.",No,Missing Parts,0e31a8a8-9ce8-435f-8967-d05018da8edd,Confirmed,Online,Card,Yes,New York,Delivered,5,11,No,2024-08-02,Usability,Average,Positive,0.5381826834475749,119,4,Resolved,Karen Taylor,dvalenzuela@example.net
Justin Barrett,warrenberry@example.com,Other,45-54,Yes,Kitchen Appliances,Paper,cultivate killer web services,4,"Course whatever no left best challenge face. Against gas four reveal image.
More imagine actually. Media black minute late well.",Yes,Not as Described,791b32c6-74ce-4222-b504-1a7fc71e061c,Confirmed,Offline,Card,Yes,New York,Shipped,5,6,Yes,2024-03-10,Delivery,Poor,Positive,-0.025362769058487222,115,1,Resolved,Rodney Hunt,thompsondawn@example.org
Justin Wright,fcordova@example.org,Other,35-44,No,Household Items,Oral Care,target killer models,1,"Ten doctor heavy its understand. Almost accept standard black. Between purpose even even kitchen eat mouth.
Magazine staff I establish a page. Class quite billion tend.",No,Other,93f5ab7f-7986-4359-b71d-95f754baf3ed,Not Confirmed,Online,Card,No,Mumbai,Shipped,4,6,No,2024-08-19,Quality,Good,Positive,-0.664733201030218,77,4,Not Resolved,Regina Rodriguez,bondcourtney@example.com
Lisa Ponce,jasonanderson@example.net,Female,45-54,No,Personal Care,Blenders,seize cutting-edge ROI,3,Election trouble town image democratic. Popular result gas manager executive. Develop population speech his. Edge church religious course consider pattern recognize lawyer.,No,Other,c5ebe219-ae6e-468b-9d8d-ad54c91cc58a,Not Confirmed,Offline,Card,Yes,Chicago,Pending,2,9,No,2024-10-04,Customer Support,Good,Negative,-0.3345802536299891,145,4,Not Resolved,Linda Barber,rachelstone@example.net
Tammy Harris,allenamanda@example.net,Other,45-54,Yes,Stationery,Paper,seize compelling experiences,4,"Politics artist not similar guess usually. Majority wonder use until you number.
Affect role others support. Job be give. Lay commercial natural too mother.",Yes,Not as Described,e2c185f1-60eb-48c9-be96-9c325fa54db9,Confirmed,Online,Card,Yes,London,Shipped,1,7,Yes,2024-11-06,Customer Support,Average,Neutral,-0.1538255379567952,116,1,Resolved,Linda Barber,thompsondawn@example.org
Randy Willis,heidi92@example.com,Female,18-24,Yes,Household Items,Fruits,engage dynamic functionalities,3,"Hand mission say understand condition.
Argue ahead effort his until traditional let tend. Stay say certain listen walk wall.",Yes,Missing Parts,f1e7230b-e8e5-4028-af18-bd6900504850,Confirmed,Offline,UPI,No,London,Delivered,2,23,No,2024-10-12,Delivery,Good,Negative,0.05124171628821084,119,2,Resolved,Kathleen Friedman,mcraig@example.com
Bryan Gonzalez,thomasjaime@example.org,Male,35-44,Yes,Personal Care,Furniture,brand cross-platform mindshare,2,"Under stock approach bill. Ago bit lot.
Size drive side art defense sea.",Yes,Missing Parts,e29f8b6c-c4c8-45e7-9537-2d530527b5a9,Not Confirmed,Offline,Card,No,Mumbai,Delivered,4,12,No,2024-08-29,Service,Excellent,Negative,-0.996535050381584,161,3,Resolved,Matthew Hall,cwhite@example.com
James Jordan,qmoody@example.net,Male,45-54,Yes,Stationery,Vegetables,reinvent open-source e-services,5,"One season writer. Protect story national.
Whether week professional him difficult I rest. Yourself shake phone sea. Traditional fine he draw together low.",Yes,Other,30bc3029-1ebd-4039-9fd3-d60e95dd6370,Not Confirmed,Online,Cash,No,London,Shipped,6,21,Yes,2024-07-17,Customer Support,Poor,Positive,-0.5918879877222549,109,3,Resolved,Matthew Hall,cwhite@example.com
Allison Vang,susanmcclure@example.org,Other,35-44,No,Groceries,Notebooks,syndicate dynamic web-readiness,4,Take ability surface herself deep. Discussion weight though woman. College side light position east if industry.,No,Other,895ef7fb-dba5-454b-917c-84e38114abfb,Not Confirmed,Online,UPI,No,Chicago,Pending,6,4,No,2024-10-02,Usability,Average,Neutral,0.4729316972807138,170,3,Resolved,Rodney Hunt,thompsondawn@example.org
Charles Reese,david04@example.com,Female,55+,No,Household Items,Oral Care,incentivize out-of-the-box eyeballs,4,Voice story summer impact. Consumer name other thank. New religious adult end deep technology.,No,Missing Parts,5f1ecd89-ad8d-44ce-9d67-5859bed58b56,Not Confirmed,Offline,Cash,No,Chicago,Delivered,4,1,No,2024-01-04,Delivery,Average,Negative,0.8660429744885683,131,4,Resolved,Karen Taylor,mcraig@example.com
Luke Lowe,brucebonnie@example.net,Female,25-34,Yes,Household Items,Microwaves,transition transparent partnerships,5,Task fill choice should exactly buy seem. Line prove identify yeah material. Brother movement any child key much wrong foot.,No,Other,df4f2c9e-7f9d-40c1-94c9-2eb446d40236,Not Confirmed,Offline,Card,No,Mumbai,Shipped,2,23,Yes,2024-01-02,Delivery,Excellent,Neutral,-0.614104227325027,144,1,Resolved,Regina Rodriguez,amandabrady@example.org
Douglas Robinson,lrichardson@example.com,Male,45-54,Yes,Stationery,Pens,evolve 24/7 bandwidth,4,"Common almost wear skill agree matter job. Trip me suddenly.
Happy head catch check mention. Claim something radio oil expect.",Yes,Missing Parts,57ef998e-7d46-4206-9f5e-3d06fd1fd135,Confirmed,Offline,UPI,Yes,Chicago,Shipped,4,10,No,2024-10-18,Quality,Good,Negative,0.15966369088726218,189,5,Resolved,Sarah Gill,carolgarcia@example.org
Billy Powell,ljones@example.org,Male,18-24,Yes,Household Items,Oral Care,revolutionize 24/365 e-commerce,3,"Foreign soldier cup government past remain within. Military on bed now admit court. Age environment fire voice.
Herself risk cell each. They look entire life.",No,Other,f94066e6-9c1a-4311-a2f1-d83668d9d954,Not Confirmed,Online,UPI,No,New York,Shipped,2,4,Yes,2024-07-09,Service,Poor,Negative,0.2597957405768634,121,2,Resolved,Linda Barber,rachelstone@example.net
Troy Goodman,shannon50@example.org,Other,18-24,No,Personal Care,Beverages,orchestrate strategic channels,1,Star include back far cell. Skin can class large good build. Away week will but top third.,Yes,Missing Parts,d1cc6922-1ebe-407d-b00d-adfd9fbf7a65,Not Confirmed,Offline,UPI,Yes,Chicago,Shipped,6,17,Yes,2024-05-12,Usability,Good,Negative,-0.9344269918096968,134,1,Resolved,Sarah Gill,amandabrady@example.org
Anthony Johnson,vaughndana@example.org,Other,35-44,No,Stationery,Snacks,engineer one-to-one info-mediaries,5,"Finally goal six approach customer summer once. Fast almost per executive by ok.
Brother southern instead. Economic seek try fine staff. From science trade add street foreign.",Yes,Defective,9d279753-19c5-4982-b819-f104bd2d8558,Confirmed,Online,Card,Yes,Los Angeles,Shipped,5,2,Yes,2024-10-18,Quality,Average,Positive,-0.9069137717905971,183,4,Resolved,Paul Brown,jeffreyleonard@example.com
Jeremiah Martin,micheal81@example.org,Other,45-54,No,Kitchen Appliances,Pencils,integrate wireless vortals,3,"Billion now world cell rich. Career best picture quickly store least rich. Suddenly method tax son picture.
Such above real than gun.",Yes,Not as Described,b41b6605-e748-439c-a82b-1e39a4e1546e,Not Confirmed,Offline,UPI,Yes,New York,Shipped,4,21,No,2024-03-25,Delivery,Poor,Positive,0.1875414140584617,170,1,Resolved,Linda Barber,cwhite@example.com
Amanda Myers,terri00@example.net,Male,45-54,Yes,Household Items,Pens,maximize visionary web-readiness,4,When window either audience price dog. Easy guy whole education. Gas receive name true.,Yes,Defective,062e4293-409d-4bae-bc5e-174dc5209583,Confirmed,Online,Card,Yes,Chicago,Pending,4,21,No,2024-03-26,Customer Support,Good,Positive,0.7407911094077329,163,1,Not Resolved,Paul Brown,dvalenzuela@example.net
Levi Gay,michelle77@example.net,Other,18-24,No,Kitchen Appliances,Blenders,brand turn-key info-mediaries,4,Against admit industry political number society wonder. Compare forward fish.,No,Missing Parts,e6cce466-576a-4072-b278-9fce5a29ea9d,Confirmed,Online,UPI,No,Chicago,Shipped,6,2,No,2024-03-11,Quality,Good,Positive,-0.6794822710691617,185,1,Not Resolved,Sarah Gill,mcraig@example.com
Jonathan Howard,williamwhite@example.com,Male,25-34,Yes,Stationery,Furniture,e-enable cross-media technologies,1,Themselves cup method fly camera. Sing same book almost production ten military vote.,Yes,Defective,576dabdf-aeec-4d68-af19-e31742b1685d,Not Confirmed,Offline,Card,No,Mumbai,Pending,6,4,Yes,2024-01-28,Price,Good,Neutral,-0.7036253991603805,130,4,Not Resolved,Matthew Hall,jeffreyleonard@example.com
John Morris,obell@example.org,Female,25-34,No,Groceries,Bedding,matrix next-generation experiences,2,Here floor tonight hospital. Game final firm try. Left reflect turn worker blood happy board.,No,Other,5fd73b1a-5956-4cc1-a94d-4c39a1b6d238,Confirmed,Offline,Card,No,New York,Pending,2,24,No,2024-06-17,Quality,Good,Negative,-0.6093914545466972,187,2,Resolved,Matthew Hall,thompsondawn@example.org
Christopher Roberts DDS,brandy76@example.com,Female,25-34,Yes,Household Items,Pencils,deliver B2C users,2,"Within few attention exactly black type. Capital do least news.
Security nice particular. Paper available project population leave beat very. Join work full case too.",No,Missing Parts,66527efc-9211-4b2f-9b1b-bf4955b40f9c,Not Confirmed,Online,UPI,No,Los Angeles,Pending,3,11,Yes,2024-09-17,Quality,Average,Negative,-0.5640413077074735,190,5,Resolved,Rodney Hunt,thomas01@example.org
Devin Gould,spearsrichard@example.net,Female,25-34,Yes,Groceries,Pencils,evolve innovative niches,2,Small effort follow like list. From drive operation painting game return final.,Yes,Missing Parts,814ad68a-cff4-49c9-9f76-35d20a3e4228,Confirmed,Offline,Cash,No,Chicago,Pending,5,13,Yes,2024-07-11,Quality,Good,Neutral,0.04240724343513014,115,3,Not Resolved,Karen Taylor,dvalenzuela@example.net
Daniel Stephenson,mistyharrell@example.com,Male,25-34,Yes,Household Items,Blenders,disintermediate proactive e-tailers,3,"Let number require before including. Avoid end hour player. State move now with key talk avoid.
Today not nothing expect whom with yeah. Foreign citizen store place account.",No,Other,be756b96-2f3a-4cc6-b8ee-07afeb8c79ff,Not Confirmed,Offline,UPI,Yes,Chicago,Delivered,3,11,No,2024-08-29,Price,Average,Negative,0.8388341314537566,142,5,Not Resolved,Kathleen Friedman,jeffreyleonard@example.com
Nicholas Silva,swilson@example.com,Female,55+,Yes,Groceries,Skincare,streamline global partnerships,1,Final question small hold arrive approach fly. War best improve order notice plan tax many.,Yes,Defective,aea81cdf-f490-4311-a028-0537c08eadb3,Not Confirmed,Online,Card,No,Mumbai,Shipped,3,19,Yes,2024-06-18,Service,Excellent,Negative,-0.6140960365331896,156,3,Resolved,Regina Rodriguez,jeffreyleonard@example.com
Andrew King,kellydixon@example.org,Other,35-44,Yes,Personal Care,Pens,maximize vertical deliverables,3,"Else each provide establish move best charge section. Animal story whom heavy cold fill hear.
Oil situation hit may before. Parent try community type possible rock music.",Yes,Not as Described,4ba8aa02-1e53-47b0-8004-d99cec236771,Not Confirmed,Offline,UPI,No,Mumbai,Shipped,4,4,No,2024-04-19,Service,Good,Negative,0.6515885595176247,108,2,Not Resolved,Regina Rodriguez,thompsondawn@example.org
